question_title,Dry Skin,Sunburn,Insect Bites,Acne,Eczema,Athlete's Foot,Psoriasis,Rashes,Warts and Corns,Cold Sores,Neurodermatitis
Location of Skin Problem,1,11,1,11,1,20,26,1,22,19,24
Appearance of the Skin Issue,2,15,16,12,2,20,27,29,22,19,24
Onset and Duration,3,15,17,13,3,20,28,30,23,18,25
Symptom Triggers and Relievers,4,15,6,7,4,21,6,30,6,6,4
Skin Sensations,5,15,16,14,5,20,6,29,6,18,5
Recent Outdoor Activities,6,15,17,6,6,6,6,6,6,6,6
Skin Care Routine,7,7,7,13,7,21,7,7,7,7,7
Previous Skin Conditions,8,6,6,6,8,6,28,6,6,6,25
Hygienic Practices,9,6,6,6,9,21,6,6,9,6,9
Physical Contact,10,10,10,10,10,10,10,10,10,10,10
